epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,8967.33,1.20623,1.16106,1.63565,0.80713,0.72819,0.82569,0.50196,1.28345,0.99174,1.67981,0.00208,0.00208,0.00208
82,9023.89,1.21642,1.16975,1.64297,0.80799,0.74369,0.81492,0.50015,1.29821,0.98387,1.69064,0.001981,0.001981,0.001981
83,9080.33,1.20983,1.15874,1.63677,0.79076,0.74944,0.82313,0.5054,1.28871,0.9763,1.68314,0.001882,0.001882,0.001882
84,9137.18,1.20487,1.15609,1.63018,0.80413,0.73018,0.81778,0.50744,1.29771,0.98358,1.68566,0.001783,0.001783,0.001783
85,9193.91,1.20067,1.13654,1.63137,0.77745,0.76978,0.82015,0.5153,1.28791,0.96936,1.68861,0.001684,0.001684,0.001684
86,9250.76,1.20659,1.15004,1.63183,0.81454,0.73693,0.82639,0.50439,1.29194,0.97581,1.68793,0.001585,0.001585,0.001585
87,9307.29,1.20372,1.1433,1.63156,0.79563,0.77515,0.83824,0.51873,1.28319,0.93914,1.68496,0.001486,0.001486,0.001486
88,9388.7,1.189,1.11351,1.61984,0.7812,0.76622,0.83105,0.51407,1.30346,0.95578,1.70523,0.001387,0.001387,0.001387
89,9675.37,1.18006,1.11829,1.62005,0.80008,0.76101,0.82553,0.51223,1.29118,0.93918,1.69383,0.001288,0.001288,0.001288
90,9960.42,1.17882,1.10661,1.61736,0.80086,0.75727,0.83482,0.51547,1.29236,0.93334,1.68652,0.001189,0.001189,0.001189
91,10245.1,1.17811,1.10582,1.606,0.79477,0.75803,0.83547,0.51216,1.29461,0.94254,1.69059,0.00109,0.00109,0.00109
92,10529.9,1.17306,1.10599,1.60862,0.78365,0.76734,0.82814,0.51161,1.2857,0.94015,1.68668,0.000991,0.000991,0.000991
93,10814.5,1.16682,1.08411,1.59356,0.79706,0.76734,0.83324,0.51444,1.28137,0.93051,1.67574,0.000892,0.000892,0.000892
94,11098.4,1.1661,1.07591,1.59865,0.83068,0.75056,0.83769,0.51638,1.29253,0.93379,1.69519,0.000793,0.000793,0.000793
95,11396.2,1.17424,1.08921,1.60311,0.79166,0.77069,0.8363,0.51503,1.28962,0.93061,1.6836,0.000694,0.000694,0.000694
96,11687.7,1.15095,1.07471,1.58711,0.78389,0.79932,0.83682,0.51899,1.27835,0.92599,1.67482,0.000595,0.000595,0.000595
97,11974.5,1.1665,1.09389,1.60296,0.82011,0.74451,0.83122,0.51817,1.2808,0.92022,1.68172,0.000496,0.000496,0.000496
98,12263.1,1.16019,1.09323,1.59452,0.81963,0.73702,0.8322,0.5184,1.27716,0.91521,1.67651,0.000397,0.000397,0.000397
99,12550,1.14671,1.08367,1.59067,0.80982,0.75733,0.83677,0.52253,1.27476,0.91138,1.67366,0.000298,0.000298,0.000298
100,12835.7,1.15273,1.07289,1.59242,0.81228,0.75992,0.84073,0.51855,1.28378,0.9196,1.67983,0.000199,0.000199,0.000199
